cluster,symbol,type,timestamp,maxTimeDev,channelCount,time,totalVolume,peakGainInsiders,peakGainPublic,secondsToPeak,maxProfit,initialPrice,initialDayVol,mediumTermPriceIncrease
129,BRD,pump,1552849174,0,1,2019-03-17T18:59:34Z,192187.151837534,1.06476194717305,1.05851122528404,284.455999851227,8346.25823890505,0.261566459,147776.097675085,1.04449679718416
130,RDN,pump,1553453999,0,1,2019-03-24T18:59:59Z,105096.506318616,1.03334478717009,1.02980562415238,560.789999961853,2353.22812064305,0.3295096725,222980.91579953,1.02270716226661
102,GXS,pump,1553704214,0,1,2019-03-27T16:30:14Z,830684.620260785,1.0566567129515,1.02258781362798,92.0679998397827,24334.946769194,1.101813726,3128541.55472978,1.00615105249197
120,SNM,pump,1554384573,25,2,2019-04-04T13:29:33Z,818660.143192797,1.11613875040176,0.991796773014797,-5.01799988746643,39585.1905051014,0.0342070505,910897.300735812,1.03314465566146
119,NEBL,pump,1554741048,0,1,2019-04-08T16:30:48Z,2036675.3637419,1.29248707025536,1.00326622524078,-2.00300002098084,435666.756726249,1.71375581,413171.392447021,1.18674437619302
114,BLZ,pump,1555174797,24,3,2019-04-13T16:59:57Z,733589.239596338,1.18700533016924,1.18073045793666,80.7660000324249,94154.4858236696,0.0693945696,316897.473422156,1.13032681094733
118,BRD,pump,1555268476,0,1,2019-04-14T19:01:16Z,252729.910463181,1.07117958805448,1.01470367796306,17,11648.2793035656,0.309135099,210837.184123141,1.03591640432273
115,ARDR,pump,1555520404,17,3,2019-04-17T17:00:04Z,851207.750895466,1.09899739210693,1.04632249252298,6.00600004196167,31854.300863344,0.083466229,408548.25810135,1.00031990047908
116,RDN,pump,1556125201,12,2,2019-04-24T17:00:01Z,354431.186519708,1.14317033199976,1.11522509517209,27.0150001049042,26389.8920671644,0.3025570584,264394.567533912,1.02614383877897
131,REQ,pump,1556550036,0,1,2019-04-29T15:00:36Z,67234.6174773707,1.06426768416147,1.00004372881291,-23.0260000228882,2019.48732620259,0.0203641335,185907.84652737,1.00028558560416
93,RDN,pump,1557504000,6,2,2019-05-10T16:00:00Z,265751.926678882,1.15622845837303,1.15087966060795,4.0149998664856,14171.9068911716,0.2718871065,250610.045772501,1.01237898975827
98,HC,pump,1557680402,6,2,2019-05-12T17:00:02Z,91731.7444562369,1.05997312646878,1.03300380917121,48.0130000114441,2921.82786672989,1.095875334,128359.873903831,1.02172887668363
94,CDT,pump,1557759601,13,2,2019-05-13T15:00:01Z,117984.144724266,1.11122944140009,1.10909537753199,1.99300003051758,3554.90135858978,0.008175046,136499.705562189,1.0183735133193
117,NAV,pump,1558198799,31,2,2019-05-18T16:59:59Z,544606.916963365,1.16104725835391,1.14893304172762,7.9850001335144,39435.1945110311,0.23912915,366073.705867968,1.04916678315272
